date,value
1953-02-01,38.0
1953-03-01,42.0
1953-04-01,40.0
1953-05-01,44.0
1953-06-01,44.5
1953-07-01,40.9
1953-08-01,38.5
1953-09-01,38.1
1953-10-01,38.1
1953-11-01,53.0
1953-12-01,56.5
1954-01-01,54.5
1954-02-01,60.0
1954-03-01,58.3
1954-04-01,52.0
1954-05-01,56.5
1954-06-01,57.5
1954-07-01,60.0
1954-08-01,61.3
1954-09-01,63.3
1954-10-01,65.5
1954-11-01,71.0
1954-12-01,73.5
1955-01-01,71.5
1955-02-01,72.5
1955-03-01,75.0
1955-04-01,75.5
1955-05-01,75.5
1955-06-01,74.5
1955-07-01,71.5
1955-08-01,70.5
1955-09-01,67.0
1955-10-01,65.0
1955-11-01,65.5
1955-12-01,66.5
1956-01-01,69.0
1956-02-01,68.5
1956-03-01,70.0
1956-04-01,72.0
1956-05-01,78.0
1956-06-01,78.0
1956-07-01,72.0
1956-08-01,72.0
1956-09-01,67.0
1956-10-01,67.0
1956-11-01,65.0
1956-12-01,65.5
1957-01-01,65.5
1957-02-01,66.3
1957-03-01,65.3
1957-04-01,68.5
1957-05-01,73.5
1957-06-01,71.0
1957-07-01,73.7
1957-08-01,79.0
1957-09-01,82.0
1957-10-01,86.0
1957-11-01,93.3
1957-12-01,90.8
1958-01-01,98.3
1958-02-01,98.8
1958-03-01,108.3
1958-04-01,122.8
1958-05-01,125.5
1958-06-01,133.3
1958-07-01,135.3
1958-08-01,155.3
1958-09-01,157.3
1958-10-01,142.8
1958-11-01,138.3
1958-12-01,140.8
1959-01-01,144.3
1959-02-01,140.0
1959-03-01,140.5
1959-04-01,138.0
1959-05-01,132.4
1959-06-01,146.4
1959-07-01,153.5
1959-08-01,153.5
1959-09-01,153.5
1959-10-01,163.7
1959-11-01,184.1
1959-12-01,184.1
1960-01-01,187.0
1960-02-01,186.0
1960-03-01,186.0
1960-04-01,186.0
1960-05-01,186.0
1960-06-01,186.0
1960-07-01,186.0
1960-08-01,186.0
1960-09-01,186.0
1960-10-01,186.0
1960-11-01,186.0
1960-12-01,195.0
1961-01-01,220.0
