nro_reuniao,data,data_focus,ipca_12m,ipca_ano_corrente,ipca_ano_seguinte,meta_ano_seguinte,desvio_meta,selic_fim_ano,cambio_fim_ano,pib_ano_corrente
232,2020-08-05,2020-08-04,2.9200,1.6300,3.0000,3.7500,-0.7500,2.0000,5.2000,-5.6600
233,2020-09-16,2020-09-15,3.1300,1.9500,3.0100,3.7500,-0.7400,2.0000,5.2500,-5.0900
234,2020-10-28,2020-10-27,3.5400,3.0100,3.1000,3.7500,-0.6500,2.0000,5.4000,-4.8200
235,2020-12-09,2020-12-08,4.0400,4.3400,3.3400,3.7500,-0.4100,2.0000,5.2000,-4.4000
236,2021-01-20,2021-01-19,3.4500,3.4500,3.5000,3.5000,0.0000,3.5000,5.0000,3.4900
237,2021-03-17,2021-03-16,4.2100,4.6600,3.5000,3.5000,0.0000,4.5000,5.3000,3.2500
238,2021-05-05,2021-05-04,4.0366,5.0394,3.6078,3.5000,0.1078,5.5000,5.4000,3.1576
239,2021-06-16,2021-06-15,4.2720,5.8315,3.7833,3.5000,0.2833,6.2500,5.1384,4.9222
240,2021-08-04,2021-08-03,4.4157,6.8366,3.8148,3.5000,0.3148,7.0000,5.0910,5.3000
241,2021-09-22,2021-09-21,4.8298,8.3602,4.1046,3.5000,0.6046,8.2500,5.2000,5.0374
242,2021-10-27,2021-10-26,4.9904,9.0073,4.5018,3.5000,1.0018,8.7500,5.4750,4.9600
243,2021-12-08,2021-12-07,5.2717,10.1857,5.0195,3.5000,1.5195,9.2500,5.5600,4.7000
244,2022-02-02,2022-02-01,5.2806,5.4264,3.5000,3.2500,0.2500,11.7500,5.6000,0.3000
245,2022-03-16,2022-03-15,5.7052,6.5000,3.7208,3.2500,0.4708,12.7500,5.3000,0.4936
246,2022-05-04,2022-05-03,5.4909,7.9105,4.1000,3.2500,0.8500,13.2500,5.0000,0.7102
247,2022-06-15,2022-06-14,5.8830,8.4982,4.7180,3.2500,1.4680,13.2500,5.0000,1.4369
248,2022-08-03,2022-08-02,5.6148,7.1471,5.3335,3.2500,2.0835,13.7500,5.2000,1.9713
249,2022-09-21,2022-09-20,5.1590,5.9964,5.0108,3.2500,1.7608,13.7500,5.2000,2.6539
250,2022-10-26,2022-10-25,5.1413,5.6000,4.9356,3.2500,1.6856,13.7500,5.2000,2.7549
251,2022-12-07,2022-12-06,5.2660,5.9116,5.0829,3.2500,1.8329,13.7500,5.2500,3.0509
252,2023-02-01,2023-01-31,5.6638,5.7543,3.9069,3.0000,0.9069,12.5000,5.2500,0.7876
253,2023-03-22,2023-03-21,5.3806,5.9545,4.0763,3.0000,1.0763,12.7500,5.2500,0.8775
254,2023-05-03,2023-05-02,5.2277,6.0501,4.1766,3.0000,1.1766,12.5000,5.2000,1.0000
255,2023-06-21,2023-06-20,4.1885,5.0961,3.9880,3.0000,0.9880,12.2500,5.0000,2.1806
256,2023-08-02,2023-08-01,4.1381,4.8506,3.8868,3.0000,0.8868,12.0000,4.9100,2.2369
257,2023-09-20,2023-09-19,4.0692,4.8613,3.8506,3.0000,0.8506,11.7500,4.9500,2.9000
258,2023-11-01,2023-10-31,3.9282,4.6266,3.9077,3.0000,0.9077,11.7500,5.0000,2.8920
259,2023-12-13,2023-12-12,3.9030,4.4982,3.9285,3.0000,0.9285,11.7500,4.9500,2.9208
260,2024-01-31,2024-01-30,3.8154,3.8128,3.5000,3.0000,0.5000,9.0000,4.9207,1.6000
261,2024-03-20,2024-03-19,3.4463,3.7631,3.5158,3.0000,0.5158,9.0000,4.9400,1.8000
262,2024-05-08,2024-05-07,3.5954,3.7329,3.6492,3.0000,0.6492,9.7500,5.0001,2.0500
263,2024-06-19,2024-06-18,3.5933,3.9640,3.8253,3.0000,0.8253,10.5000,5.1500,2.0886
264,2024-07-31,2024-07-30,3.7110,4.1000,3.9597,3.0000,0.9597,10.5000,5.3000,2.1885
265,2024-09-18,2024-09-17,4.0373,4.3625,3.9648,3.0000,0.9648,11.2500,5.4000,2.9977
266,2024-11-06,2024-11-05,4.0650,4.5900,4.0318,3.0000,1.0318,11.7500,5.5068,3.1000
267,2024-12-11,2024-12-10,4.6555,4.8729,4.6185,3.0000,1.6185,12.0000,5.9570,3.3963
268,2025-01-29,2025-01-28,5.7031,5.5035,4.2500,3.0000,1.2500,15.0000,6.0000,2.0596
269,2025-03-19,2025-03-18,5.1872,5.6568,4.4800,3.0000,1.4800,15.0000,5.9800,1.9832
270,2025-05-07,2025-05-06,4.9558,5.5255,4.5101,3.0000,1.5101,14.7500,5.8510,2.0000
271,2025-06-18,2025-06-17,4.7070,5.2471,4.5000,3.0000,1.5000,14.7500,5.7500,2.2005
272,2025-07-30,2025-07-29,4.4373,5.0879,4.4335,3.0000,1.4335,15.0000,5.6146,2.2300
273,2025-09-17,2025-09-16,4.3964,4.8273,4.3000,3.0000,1.3000,15.0000,5.5000,2.1612
274,2025-11-05,2025-11-04,4.0744,4.5350,4.2000,3.0000,1.2000,15.0000,5.4100,2.1612
275,2025-12-10,2025-12-09,4.0629,4.3947,4.1350,3.0000,1.1350,15.0000,5.4000,2.2500
276,2026-01-28,2026-01-27,4.0137,4.0001,3.8000,3.0000,0.8000,12.2500,5.5000,1.8000
277,2026-03-18,2026-03-17,3.9808,4.1039,3.8000,3.0000,0.8000,12.2500,5.4000,1.8247
278,2026-04-29,2026-04-28,4.0630,4.8910,4.0000,3.0000,1.0000,13.0000,5.2500,1.8502
279,2026-06-17,2026-06-16,4.0963,5.3000,4.1043,3.0000,1.1043,14.0000,5.2000,1.9829
