nro_reuniao,data,score
232,2020-08-05,-1.25
233,2020-09-16,-1.00
234,2020-10-28,-0.50
235,2020-12-09,-0.50
236,2021-01-20,0.50
237,2021-03-17,1.25
238,2021-05-05,1.25
239,2021-06-16,1.50
240,2021-08-04,1.75
241,2021-09-22,1.75
242,2021-10-27,1.75
243,2021-12-08,1.75
244,2022-02-02,1.75
245,2022-03-16,2.00
246,2022-05-04,2.25
247,2022-06-15,2.25
248,2022-08-03,1.75
249,2022-09-21,1.25
250,2022-10-26,1.25
251,2022-12-07,1.25
252,2023-02-01,1.25
253,2023-03-22,1.50
254,2023-05-03,1.50
255,2023-06-21,1.25
256,2023-08-02,0.50
257,2023-09-20,0.50
258,2023-11-01,0.50
259,2023-12-13,-0.50
260,2024-01-31,0.50
261,2024-03-20,0.50
262,2024-05-08,1.25
263,2024-06-19,1.25
264,2024-07-31,1.50
265,2024-09-18,1.50
266,2024-11-06,1.75
267,2024-12-11,2.00
268,2025-01-29,2.25
269,2025-03-19,1.75
270,2025-05-07,1.50
271,2025-06-18,1.75
272,2025-07-30,1.75
273,2025-09-17,1.50
274,2025-11-05,1.25
275,2025-12-10,1.25
276,2026-01-28,1.50
277,2026-03-18,1.25
278,2026-04-29,2.00
279,2026-06-17,1.75
